,kind,etag,id,title,positive_vader,negative_vader,neutral_vader,viewCount,likeCount,dislikeCount,commentCount,likedislikeratio
0,youtube#video,bjx1he7KjPd0fuqlWGlI3agMcn4,moIuur9GUws,"Video Number : 1 --> World&#39;s Brightest Flashlight | OT38
",40.27831465017395,36.5287978353305,23.192887514495556,4478868,152313,0,13312,0.0
1,youtube#video,TTgzvp3fVGkRA-pJE2xAyWUQXlk,WIFyVPaL_kU,"Video Number : 2 --> Which level took the longest?? 🤯
",27.22772277227723,16.76096181046676,56.011315417256014,2031989,131871,0,1661,0.0
2,youtube#video,9HAjmfRCDSRadQUKvsIQDHHwfy8,V9YUfEyL0aI,"Video Number : 3 --> tbh he made it farther than we thought he would
",44.39685938615275,17.77301927194861,37.83012134189864,17299000,616360,0,1667,0.0
3,youtube#video,EB14XygB66yoxY5LQ963Cp63Tso,zPlsnWq5X50,"Video Number : 4 --> Hotel Stereotypes
",42.28549442093113,17.699115044247787,40.01539053482108,10612474,287271,0,9733,0.0
4,youtube#video,iEWR_xhjz7VQKBDsURNHJrEE5Qg,pLlOkqBoZK4,"Video Number : 5 --> Can We Outrun a Police Dog? | Animal Olympics
",53.68000000000001,15.28,31.04,8143953,187879,0,4488,0.0
5,youtube#video,7cgkI99HXZ9xtPYW5a-m-1N3XfA,MlPAmRN-uwg,"Video Number : 6 --> Well that escalated QUICKLY 😳🎱
",38.63024240092343,25.24047710657945,36.12928049249711,28287661,1401567,0,11433,0.0
6,youtube#video,JhOLyHfPy1r-fCAJdA-LXK5dlik,gvocDKs_Sno,"Video Number : 7 --> Oreo Roll Roulette! 🤢
",33.32,20.64,46.04,113238795,5176013,0,7052,0.0
7,youtube#video,W0LHOPcM2g8lHdjzBHIADoRtYK8,z_lgjFAxP6c,"Video Number : 8 --> Ultimate Mini Games Battle 3
",61.54734411085451,11.316397228637413,27.136258660508084,10254149,217137,0,4362,0.0
8,youtube#video,WxqydzAiX0SYpV-fU6OCP7Slmss,W1cz1L5zDvM,"Video Number : 9 --> Dude Perfect EXPOSED (Part 2) 🤫
",33.44,30.880000000000003,35.68,15231443,823634,0,9705,0.0
9,youtube#video,7AUiflUrL6rGD2B_IUz6EBbi4cI,IYLcZooMLbQ,"Video Number : 10 --> Cake Flip Challenge! 😳🎂 #shorts
",36.480000000000004,39.68,23.84,16876756,973554,0,4409,0.0
